Data,SKU,Produto,Quantidade
06/03/2025,2085A,Notebook Ultrafino,30
12/03/2025,1679C,Notebook Ultrafino,57
21/01/2025,7824D,Headset Gamer,20
10/01/2025,2580D,Headset Gamer,19
20/02/2025,9491C,Headset Gamer,127
04/02/2025,3443C,Notebook Ultrafino,114
02/03/2025,8046A,Hub USB 3.0,46
16/03/2025,5470C,Headset Gamer,60
26/01/2025,6656A,Carregador USB-C,2
16/01/2025,7435B,Carregador USB-C,75
20/01/2025,4177B,Hub USB 3.0,3
04/01/2025,2443D,Power Bank 10000mAh,113
06/03/2025,9530B,Fonte 500W,34
27/02/2025,3898B,Controle Xbox,56
15/02/2025,7076B,Adaptador Bluetooth,104
23/02/2025,3760A,Roteador Wi-Fi,60
03/02/2025,6331D,Carregador USB-C,130
28/01/2025,5264C,Placa de Vídeo 4GB,147
05/02/2025,6321A,Fonte 500W,36
18/03/2025,7774B,Roteador Wi-Fi,58
02/02/2025,8679B,Roteador Wi-Fi,7
26/03/2025,5949A,Headset Gamer,39
09/01/2025,1256C,Fonte 500W,148
07/01/2025,5437A,Headset Gamer,95
20/03/2025,4002D,Cadeira Gamer,111
14/03/2025,2083A,Cabo HDMI,92
06/02/2025,5959C,Controle Xbox,75
06/02/2025,9079D,Carregador USB-C,135
10/01/2025,2168A,Power Bank 10000mAh,115
23/03/2025,9002A,Controle Xbox,121
01/03/2025,6492A,Power Bank 10000mAh,116
12/03/2025,9527D,Fonte 500W,45
16/02/2025,9530B,Fonte 500W,145
14/01/2025,7774B,Roteador Wi-Fi,105
09/02/2025,9646A,Fonte 500W,71
22/03/2025,1675A,HD Externo 1TB,17
30/01/2025,6959C,Cooler para CPU,59
13/01/2025,5337A,HD Externo 1TB,52
17/02/2025,3984B,Fonte 500W,114
07/03/2025,5564B,Controle Xbox,17
17/03/2025,2485D,Notebook Ultrafino,39
25/01/2025,8046A,Hub USB 3.0,142
08/03/2025,5334B,Headset Gamer,120
16/03/2025,2083A,Cabo HDMI,111
03/02/2025,1466B,Controle Xbox,48
07/03/2025,3443C,Notebook Ultrafino,87
16/03/2025,5334B,Headset Gamer,42
10/01/2025,1885B,Carregador USB-C,87
02/03/2025,5337A,HD Externo 1TB,73
23/02/2025,5827A,Controle Xbox,63
17/03/2025,5334B,Headset Gamer,98
08/01/2025,6150C,Pendrive 64GB,49
21/02/2025,4002D,Cadeira Gamer,110
14/01/2025,8828D,Adaptador Bluetooth,47
19/02/2025,8679B,Roteador Wi-Fi,19
02/03/2025,8828D,Adaptador Bluetooth,8
02/02/2025,4877A,Cabo HDMI,66
09/01/2025,5564B,Controle Xbox,49
26/03/2025,9485C,Notebook Ultrafino,147
22/01/2025,5949A,Headset Gamer,19
17/02/2025,8023A,Cooler para CPU,126
05/03/2025,2192C,Cadeira Gamer,77
01/02/2025,7435B,Carregador USB-C,118
11/02/2025,9161D,Pendrive 64GB,98
25/01/2025,9646A,Fonte 500W,13
15/02/2025,1465D,Controle Xbox,55
08/01/2025,1465D,Controle Xbox,8
08/01/2025,3633A,Cooler para CPU,149
25/02/2025,5827A,Controle Xbox,138
14/01/2025,5941A,Power Bank 10000mAh,69
27/02/2025,4177B,Hub USB 3.0,122
05/01/2025,6867A,Hub USB 3.0,74
22/03/2025,5968B,Hub USB 3.0,35
09/01/2025,5063B,Monitor 24'',8
07/02/2025,4269B,Fonte 500W,86
09/02/2025,8046A,Hub USB 3.0,32
18/03/2025,3898B,Controle Xbox,82
26/03/2025,6959C,Cooler para CPU,91
26/02/2025,9068A,HD Externo 1TB,149
14/03/2025,2168A,Power Bank 10000mAh,58
28/02/2025,3975C,Webcam Full HD,23
13/02/2025,5021C,Fonte 500W,11
09/01/2025,4269B,Fonte 500W,31
14/02/2025,2085A,Notebook Ultrafino,11
06/01/2025,6150C,Pendrive 64GB,127
31/12/2024,4439B,Suporte Monitor,115
10/03/2025,8445C,Notebook Ultrafino,113
26/01/2025,5262B,Teclado Mecânico,67
17/01/2025,1675A,HD Externo 1TB,97
16/02/2025,8756C,Adaptador Bluetooth,31
13/02/2025,3657A,Cadeira Gamer,126
04/01/2025,1389D,Monitor 24'',145
30/03/2025,5712D,Webcam Full HD,1
24/02/2025,8322C,Cadeira Gamer,134
20/01/2025,9150D,Adaptador Bluetooth,93
25/01/2025,2485D,Notebook Ultrafino,61
22/02/2025,4259C,Suporte Monitor,104
02/02/2025,3059A,Suporte Monitor,137
14/03/2025,1675A,HD Externo 1TB,95
02/01/2025,2558A,Cooler para CPU,30
16/03/2025,5959C,Controle Xbox,65
11/02/2025,5118D,Cadeira Gamer,83
15/02/2025,5337A,HD Externo 1TB,102
15/01/2025,1256C,Fonte 500W,22
28/01/2025,4154D,HD Externo 1TB,110
11/02/2025,5941A,Power Bank 10000mAh,94
19/02/2025,7085A,Cooler para CPU,95
22/02/2025,7824D,Headset Gamer,96
10/03/2025,3975C,Webcam Full HD,114
01/02/2025,3608A,Fonte 500W,77
07/02/2025,1885B,Carregador USB-C,59
06/03/2025,9002A,Controle Xbox,147
11/03/2025,9853A,Carregador USB-C,44
04/01/2025,6959C,Cooler para CPU,113
07/03/2025,3984B,Fonte 500W,55
21/01/2025,4269B,Fonte 500W,125
01/01/2025,5320D,Webcam Full HD,117
03/03/2025,3891C,Controle Xbox,43
20/03/2025,5264C,Placa de Vídeo 4GB,73
09/03/2025,6580A,Cabo HDMI,104
28/03/2025,5337A,HD Externo 1TB,67
14/03/2025,6867A,Hub USB 3.0,135
25/02/2025,7085A,Cooler para CPU,7
09/02/2025,2580D,Headset Gamer,109
16/01/2025,2192C,Cadeira Gamer,66
19/03/2025,6150C,Pendrive 64GB,67
23/03/2025,2362D,Adaptador Bluetooth,24
03/01/2025,5941A,Power Bank 10000mAh,120
03/02/2025,4025A,Notebook Ultrafino,123
17/03/2025,1220D,Webcam Full HD,45
12/03/2025,6321A,Fonte 500W,74
23/03/2025,7580B,HD Externo 1TB,111
16/02/2025,1466B,Controle Xbox,44
30/03/2025,1120C,Controle Xbox,49
13/02/2025,2580D,Headset Gamer,66
16/01/2025,1534A,Mouse Óptico,11
23/02/2025,1389D,Monitor 24'',83
18/03/2025,1465D,Controle Xbox,144
11/01/2025,6580A,Cabo HDMI,78
03/01/2025,1466B,Controle Xbox,87
19/01/2025,3760A,Roteador Wi-Fi,17
14/03/2025,8679B,Roteador Wi-Fi,69
06/03/2025,7928A,Headset Gamer,137
25/02/2025,3880C,Mouse Óptico,114
15/03/2025,4877A,Cabo HDMI,24
01/01/2025,5968B,Hub USB 3.0,69
01/03/2025,6492A,Power Bank 10000mAh,38
23/02/2025,9530B,Fonte 500W,112
06/03/2025,9068A,HD Externo 1TB,113
24/01/2025,6100C,Placa de Vídeo 4GB,78
05/01/2025,7928A,Headset Gamer,76
04/01/2025,3321A,Teclado Mecânico,33
28/03/2025,5063B,Monitor 24'',27
10/01/2025,3891C,Controle Xbox,112
25/03/2025,4177B,Hub USB 3.0,48
27/01/2025,6959C,Cooler para CPU,38
08/03/2025,5264C,Placa de Vídeo 4GB,50
24/02/2025,9161D,Pendrive 64GB,54
24/03/2025,2485D,Notebook Ultrafino,7
03/01/2025,4836D,Monitor 24'',122
23/01/2025,8866B,HD Externo 1TB,141
16/02/2025,8367A,Suporte Monitor,107
29/01/2025,4154D,HD Externo 1TB,16
04/02/2025,1220D,Webcam Full HD,40
09/03/2025,6959C,Cooler para CPU,40
28/01/2025,5959C,Controle Xbox,45
04/02/2025,5712D,Webcam Full HD,101
15/01/2025,9002A,Controle Xbox,2
13/02/2025,5264C,Placa de Vídeo 4GB,141
17/01/2025,4439B,Suporte Monitor,79
24/02/2025,9591C,Roteador Wi-Fi,36
31/12/2024,4177B,Hub USB 3.0,96
02/02/2025,9161D,Pendrive 64GB,16
22/02/2025,6959C,Cooler para CPU,36
16/03/2025,5941A,Power Bank 10000mAh,97
14/03/2025,7928A,Headset Gamer,124
02/01/2025,2286C,Cooler para CPU,17
30/03/2025,4877A,Cabo HDMI,125
13/03/2025,2362D,Adaptador Bluetooth,138
03/02/2025,9079D,Carregador USB-C,41
24/03/2025,1256C,Fonte 500W,59
21/03/2025,9068A,HD Externo 1TB,101
22/02/2025,1534A,Mouse Óptico,6
03/03/2025,8322C,Cadeira Gamer,18
22/01/2025,9079D,Carregador USB-C,130
24/02/2025,9068A,HD Externo 1TB,61
07/02/2025,8828D,Adaptador Bluetooth,108
09/01/2025,1220D,Webcam Full HD,142
04/01/2025,9530B,Fonte 500W,116
16/01/2025,4002D,Cadeira Gamer,148
01/01/2025,2168A,Power Bank 10000mAh,82
27/03/2025,4836D,Monitor 24'',118
11/01/2025,7085A,Cooler para CPU,122
25/02/2025,3265C,Carregador USB-C,112
10/01/2025,3657A,Cadeira Gamer,64
22/03/2025,5949A,Headset Gamer,150
26/01/2025,8828D,Adaptador Bluetooth,55
26/03/2025,3898B,Controle Xbox,74
20/03/2025,6321A,Fonte 500W,95
14/02/2025,9002A,Controle Xbox,69
12/01/2025,9491C,Headset Gamer,94
18/02/2025,9853A,Carregador USB-C,74
17/02/2025,8593C,Adaptador Bluetooth,148
29/03/2025,7824D,Headset Gamer,25
13/01/2025,8214A,HD Externo 1TB,45
27/02/2025,5968B,Hub USB 3.0,140
05/02/2025,8367A,Suporte Monitor,62
08/02/2025,8345D,Adaptador Bluetooth,70
24/02/2025,6580A,Cabo HDMI,1
29/01/2025,1679C,Notebook Ultrafino,81
27/01/2025,6004A,Webcam Full HD,98
26/01/2025,7928A,Headset Gamer,98
08/03/2025,4177B,Hub USB 3.0,14
22/02/2025,4159D,Adaptador Bluetooth,16
12/03/2025,1389D,Monitor 24'',42
28/03/2025,1679C,Notebook Ultrafino,15
28/02/2025,4259C,Suporte Monitor,88
14/03/2025,5564B,Controle Xbox,26
03/01/2025,4025A,Notebook Ultrafino,140
05/03/2025,3127C,Power Bank 10000mAh,74
30/01/2025,8866B,HD Externo 1TB,55
22/01/2025,5262B,Teclado Mecânico,42
27/03/2025,6656A,Carregador USB-C,33
21/01/2025,5949A,Headset Gamer,122
02/02/2025,3891C,Controle Xbox,33
04/03/2025,5941A,Power Bank 10000mAh,139
10/02/2025,9019C,Adaptador Bluetooth,26
15/02/2025,7919C,Fonte 500W,68
28/03/2025,5564B,Controle Xbox,118
28/01/2025,2651C,Suporte Monitor,55
13/02/2025,9150D,Adaptador Bluetooth,27
26/03/2025,8023A,Cooler para CPU,141
05/03/2025,7435B,Carregador USB-C,20
16/03/2025,6100C,Placa de Vídeo 4GB,97
04/03/2025,1679C,Notebook Ultrafino,17
18/01/2025,1797D,Cabo HDMI,124
18/03/2025,3443C,Notebook Ultrafino,51
03/02/2025,3321A,Teclado Mecânico,45
05/01/2025,8866B,HD Externo 1TB,24
19/02/2025,3127C,Power Bank 10000mAh,97
14/02/2025,8756C,Adaptador Bluetooth,19
22/01/2025,3657A,Cadeira Gamer,10
27/03/2025,8445C,Notebook Ultrafino,88
17/01/2025,1675A,HD Externo 1TB,6
23/03/2025,5827A,Controle Xbox,146
05/01/2025,9002A,Controle Xbox,116
15/03/2025,4528D,Cooler para CPU,17
05/03/2025,3608A,Fonte 500W,16
18/01/2025,5262B,Teclado Mecânico,48
02/03/2025,2362D,Adaptador Bluetooth,91
05/01/2025,3059A,Suporte Monitor,137
08/03/2025,5941A,Power Bank 10000mAh,140
30/01/2025,1465D,Controle Xbox,41
11/03/2025,6959C,Cooler para CPU,94
16/03/2025,1534A,Mouse Óptico,66
04/03/2025,1389D,Monitor 24'',118
20/03/2025,2168A,Power Bank 10000mAh,140
01/03/2025,8679B,Roteador Wi-Fi,70
12/03/2025,6004A,Webcam Full HD,10
14/02/2025,3760A,Roteador Wi-Fi,40
08/03/2025,6959C,Cooler para CPU,4
17/01/2025,8214A,HD Externo 1TB,64
17/01/2025,8367A,Suporte Monitor,114
17/01/2025,9150D,Adaptador Bluetooth,22
16/01/2025,7580B,HD Externo 1TB,144
26/02/2025,8345D,Adaptador Bluetooth,68
06/01/2025,8593C,Adaptador Bluetooth,84
10/01/2025,4877A,Cabo HDMI,73
05/03/2025,1220D,Webcam Full HD,56
01/01/2025,9485C,Notebook Ultrafino,115
15/01/2025,9019C,Adaptador Bluetooth,140
23/03/2025,8866B,HD Externo 1TB,102
22/02/2025,6957A,Adaptador Bluetooth,14
12/03/2025,8023A,Cooler para CPU,44
10/01/2025,8367A,Suporte Monitor,103
10/02/2025,2651C,Suporte Monitor,130
07/02/2025,4154D,HD Externo 1TB,115
12/01/2025,6492A,Power Bank 10000mAh,61
25/01/2025,1698D,Adaptador Bluetooth,44
21/02/2025,6580A,Cabo HDMI,20
07/01/2025,1466B,Controle Xbox,147
18/01/2025,1698D,Adaptador Bluetooth,63
24/03/2025,3898B,Controle Xbox,31
25/01/2025,8367A,Suporte Monitor,78
11/01/2025,3898B,Controle Xbox,9
14/01/2025,7568D,Controle Xbox,11
20/03/2025,1465D,Controle Xbox,103
23/02/2025,9491C,Headset Gamer,45
16/03/2025,3891C,Controle Xbox,38
29/03/2025,4177B,Hub USB 3.0,73
17/01/2025,7774B,Roteador Wi-Fi,140
15/01/2025,3657A,Cadeira Gamer,45
14/02/2025,5941A,Power Bank 10000mAh,126
27/01/2025,4877A,Cabo HDMI,31
23/02/2025,7919C,Fonte 500W,27
31/01/2025,9646A,Fonte 500W,104
26/03/2025,1465D,Controle Xbox,24
16/03/2025,1256C,Fonte 500W,28
02/01/2025,6932D,Teclado Mecânico,18
07/03/2025,9019C,Adaptador Bluetooth,112
14/01/2025,6932D,Teclado Mecânico,48
22/02/2025,6150C,Pendrive 64GB,132
01/02/2025,8828D,Adaptador Bluetooth,125
18/03/2025,7076B,Adaptador Bluetooth,145
13/01/2025,2192C,Cadeira Gamer,74
08/03/2025,5949A,Headset Gamer,48
23/03/2025,8828D,Adaptador Bluetooth,64
31/12/2024,6957A,Adaptador Bluetooth,15
30/03/2025,9559A,Pendrive 64GB,109
13/01/2025,3265C,Carregador USB-C,38
02/01/2025,7435B,Carregador USB-C,143
17/02/2025,2558A,Cooler para CPU,96
29/01/2025,5941A,Power Bank 10000mAh,136
17/02/2025,5320D,Webcam Full HD,74
26/03/2025,5264C,Placa de Vídeo 4GB,143
15/01/2025,2651C,Suporte Monitor,38
01/01/2025,6150C,Pendrive 64GB,117
15/02/2025,4592D,Webcam Full HD,144
27/03/2025,2168A,Power Bank 10000mAh,78
06/01/2025,9019C,Adaptador Bluetooth,124
19/03/2025,5949A,Headset Gamer,146
04/02/2025,5766B,Power Bank 10000mAh,83
04/03/2025,5470C,Headset Gamer,69
01/01/2025,5712D,Webcam Full HD,136
01/03/2025,4002D,Cadeira Gamer,19
02/03/2025,5959C,Controle Xbox,97
22/03/2025,2362D,Adaptador Bluetooth,52
20/02/2025,3975C,Webcam Full HD,96
22/01/2025,5264C,Placa de Vídeo 4GB,18
21/01/2025,1220D,Webcam Full HD,140
19/03/2025,6321A,Fonte 500W,2
31/01/2025,6959C,Cooler para CPU,137
07/01/2025,6492A,Power Bank 10000mAh,140
18/01/2025,1465D,Controle Xbox,38
22/03/2025,3059A,Suporte Monitor,143
17/03/2025,6300B,Teclado Mecânico,62
14/03/2025,5766B,Power Bank 10000mAh,142
26/03/2025,9559A,Pendrive 64GB,72
09/02/2025,2168A,Power Bank 10000mAh,36
12/01/2025,9079D,Carregador USB-C,115
09/01/2025,3657A,Cadeira Gamer,111
06/01/2025,4439B,Suporte Monitor,45
31/12/2024,5320D,Webcam Full HD,32
30/01/2025,8367A,Suporte Monitor,140
12/01/2025,2192C,Cadeira Gamer,66
08/01/2025,1534A,Mouse Óptico,118
04/02/2025,9150D,Adaptador Bluetooth,87
21/03/2025,5021C,Fonte 500W,34
05/02/2025,8828D,Adaptador Bluetooth,64
05/02/2025,1797D,Cabo HDMI,30
27/02/2025,4592D,Webcam Full HD,139
10/03/2025,7076B,Adaptador Bluetooth,89
17/03/2025,6932D,Teclado Mecânico,84
12/03/2025,3443C,Notebook Ultrafino,75
08/01/2025,8445C,Notebook Ultrafino,77
26/03/2025,3880C,Mouse Óptico,79
11/03/2025,2463C,Mouse Óptico,113
17/03/2025,2463C,Mouse Óptico,16
11/01/2025,5437A,Headset Gamer,121
03/02/2025,4159D,Adaptador Bluetooth,104
07/03/2025,9853A,Carregador USB-C,136
16/03/2025,4154D,HD Externo 1TB,80
10/03/2025,8828D,Adaptador Bluetooth,140
15/01/2025,1120C,Controle Xbox,18
13/03/2025,3321A,Teclado Mecânico,148
23/01/2025,2286C,Cooler para CPU,56
18/01/2025,1220D,Webcam Full HD,147
15/02/2025,9079D,Carregador USB-C,27
04/01/2025,5968B,Hub USB 3.0,91
04/01/2025,5118D,Cadeira Gamer,104
27/03/2025,4836D,Monitor 24'',69
03/02/2025,6150C,Pendrive 64GB,84
24/01/2025,6331D,Carregador USB-C,108
09/03/2025,4877A,Cabo HDMI,44
11/02/2025,3443C,Notebook Ultrafino,78
26/02/2025,9646A,Fonte 500W,147
14/02/2025,5063B,Monitor 24'',135
28/01/2025,2443D,Power Bank 10000mAh,124
22/01/2025,4528D,Cooler para CPU,63
27/01/2025,1797D,Cabo HDMI,68
15/01/2025,3321A,Teclado Mecânico,43
02/02/2025,1675A,HD Externo 1TB,150
08/02/2025,6100C,Placa de Vídeo 4GB,22
12/01/2025,2580D,Headset Gamer,104
01/01/2025,9527D,Fonte 500W,51
11/03/2025,9591C,Roteador Wi-Fi,138
27/03/2025,4836D,Monitor 24'',104
12/02/2025,9853A,Carregador USB-C,78
09/02/2025,1698D,Adaptador Bluetooth,91
28/01/2025,6959C,Cooler para CPU,86
14/01/2025,1698D,Adaptador Bluetooth,139
24/03/2025,5063B,Monitor 24'',67
26/03/2025,7919C,Fonte 500W,123
04/03/2025,5334B,Headset Gamer,47
30/01/2025,3059A,Suporte Monitor,135
12/01/2025,7076B,Adaptador Bluetooth,114
09/02/2025,6932D,Teclado Mecânico,94
29/03/2025,1389D,Monitor 24'',16
09/02/2025,8214A,HD Externo 1TB,116
26/02/2025,1885B,Carregador USB-C,17
07/03/2025,6300B,Teclado Mecânico,69
29/03/2025,6004A,Webcam Full HD,82
25/02/2025,3657A,Cadeira Gamer,111
15/03/2025,7928A,Headset Gamer,142
22/03/2025,8367A,Suporte Monitor,111
20/02/2025,2085A,Notebook Ultrafino,73
02/02/2025,6150C,Pendrive 64GB,117
15/03/2025,7580B,HD Externo 1TB,42
26/02/2025,9527D,Fonte 500W,83
22/03/2025,8046A,Hub USB 3.0,100
05/02/2025,6957A,Adaptador Bluetooth,139
30/03/2025,7085A,Cooler para CPU,64
05/02/2025,4159D,Adaptador Bluetooth,102
25/02/2025,6656A,Carregador USB-C,33
22/03/2025,3657A,Cadeira Gamer,76
16/01/2025,9527D,Fonte 500W,52
20/03/2025,1751D,Teclado Mecânico,8
06/03/2025,1679C,Notebook Ultrafino,88
22/01/2025,3891C,Controle Xbox,109
09/02/2025,3265C,Carregador USB-C,134
02/01/2025,7076B,Adaptador Bluetooth,103
23/01/2025,5959C,Controle Xbox,135
30/01/2025,9150D,Adaptador Bluetooth,59
03/02/2025,5262B,Teclado Mecânico,23
01/01/2025,5437A,Headset Gamer,75
28/03/2025,5470C,Headset Gamer,37
09/02/2025,8345D,Adaptador Bluetooth,130
18/01/2025,4154D,HD Externo 1TB,150
07/01/2025,7824D,Headset Gamer,108
19/01/2025,1679C,Notebook Ultrafino,69
18/03/2025,1534A,Mouse Óptico,103
07/02/2025,3657A,Cadeira Gamer,143
21/03/2025,9527D,Fonte 500W,145
24/02/2025,2651C,Suporte Monitor,34
27/03/2025,5766B,Power Bank 10000mAh,103
14/03/2025,8023A,Cooler para CPU,118
03/02/2025,4877A,Cabo HDMI,29
31/01/2025,2085A,Notebook Ultrafino,80
27/01/2025,3321A,Teclado Mecânico,91
05/02/2025,5334B,Headset Gamer,87
06/03/2025,3633A,Cooler para CPU,4
11/02/2025,8023A,Cooler para CPU,121
09/01/2025,8756C,Adaptador Bluetooth,9
27/02/2025,1466B,Controle Xbox,149
15/01/2025,5949A,Headset Gamer,125
04/03/2025,4259C,Suporte Monitor,145
07/01/2025,8046A,Hub USB 3.0,99
09/03/2025,7824D,Headset Gamer,68
12/03/2025,8322C,Cadeira Gamer,6
17/01/2025,8593C,Adaptador Bluetooth,9
10/02/2025,6100C,Placa de Vídeo 4GB,11
01/02/2025,5063B,Monitor 24'',73
28/01/2025,6957A,Adaptador Bluetooth,116
16/03/2025,7435B,Carregador USB-C,50
14/01/2025,2085A,Notebook Ultrafino,144
23/02/2025,6100C,Placa de Vídeo 4GB,50
18/03/2025,2085A,Notebook Ultrafino,78
09/03/2025,9150D,Adaptador Bluetooth,19
08/01/2025,8322C,Cadeira Gamer,125
29/01/2025,9559A,Pendrive 64GB,30
25/02/2025,5949A,Headset Gamer,6
02/03/2025,9161D,Pendrive 64GB,144
20/03/2025,2485D,Notebook Ultrafino,61
27/03/2025,3633A,Cooler para CPU,138
12/02/2025,7085A,Cooler para CPU,9
06/01/2025,3891C,Controle Xbox,13
29/01/2025,1698D,Adaptador Bluetooth,102
31/01/2025,5959C,Controle Xbox,78
04/01/2025,8679B,Roteador Wi-Fi,112
05/03/2025,9150D,Adaptador Bluetooth,107
17/02/2025,8828D,Adaptador Bluetooth,46
18/03/2025,8756C,Adaptador Bluetooth,137
09/02/2025,5766B,Power Bank 10000mAh,90
11/01/2025,8445C,Notebook Ultrafino,100
19/02/2025,3321A,Teclado Mecânico,66
07/01/2025,9853A,Carregador USB-C,30
15/02/2025,2192C,Cadeira Gamer,97
11/02/2025,9161D,Pendrive 64GB,9
17/02/2025,8214A,HD Externo 1TB,13
11/02/2025,6656A,Carregador USB-C,48
07/02/2025,6957A,Adaptador Bluetooth,29
20/03/2025,3321A,Teclado Mecânico,10
29/03/2025,8046A,Hub USB 3.0,7
21/01/2025,5470C,Headset Gamer,98
22/01/2025,6150C,Pendrive 64GB,106
04/02/2025,8322C,Cadeira Gamer,93
24/02/2025,8345D,Adaptador Bluetooth,55
23/02/2025,5564B,Controle Xbox,114
26/01/2025,4439B,Suporte Monitor,115
01/01/2025,8445C,Notebook Ultrafino,32
15/02/2025,3608A,Fonte 500W,11
20/03/2025,1256C,Fonte 500W,10
25/01/2025,2083A,Cabo HDMI,133
12/03/2025,4025A,Notebook Ultrafino,90
10/02/2025,1675A,HD Externo 1TB,39
19/01/2025,9002A,Controle Xbox,139
10/01/2025,4154D,HD Externo 1TB,52
26/02/2025,2362D,Adaptador Bluetooth,142
22/01/2025,4592D,Webcam Full HD,29
10/03/2025,8046A,Hub USB 3.0,2